"plant code","treatment assigned","nplant","numfruit1","numfruit2","numSeed","nIndividuals","openflw","meanSeed_plant","meadow1"
"DELNUT","Leaf/Vegetal tissue",6,0,0,0,6,0,NA,"M2"
"DELNUT","OP",20,2,48,705,20,50,35.25,"M2, NE, CPM, CPB"
"DELNUT","PE",17,0,2,17,17,47,1,"M2, NE, CPM, CPB"
"DELNUT","SV",2,0,0,0,2,6,0,"CPM"
"ERIFOL","Leaf/Vegetal tissue",14,0,29,29,14,45,2.23076923076923,"M2"
"ERIFOL","OP",40,6,1331,1331,40,55,33.275,"M2, NE, CPM"
"ERIFOL","PE",21,0,142,141,21,2,6.71428571428571,"M2, NE, CPM, CPB"
"ERILAN","OP",20,0,679,679,20,17,33.95,"M2, NE, CPM"
"ERILAN","PE",20,0,24,23,20,16,1.15,"M2, NE, CPM"
"LUPLAX","Leaf/Vegetal tissue",51,11,0,0,51,0,NA,"RP1, RP2, M2, NE"
"LUPLAX","OP",34,45,25,34,34,229,1,"M2, RP2, RP1, CPM, CPR"
"LUPLAX","PE",21,10,0,0,21,179,0,"RP2, CPM, CPR"
"PENPRO","Leaf/Vegetal tissue",1,0,0,0,1,0,NA,"RP2"
"PENPRO","OP",57,1073,898,3341,56,240,58.6140350877193,"NE, RP2, CPM, CPR, M2"
"PENPRO","PE",23,0,1,11,23,274,0.478260869565217,"NE, RP2, CPM, CPR"
"PENPRO","SV",1,0,0,0,1,0,0,"CPM"
"POTGLA","OP",9,0,7,383,9,16,42.5555555555556,"NE, CPM"
"POTGLA","PE",9,0,5,286,9,8,31.7777777777778,"NE, CPM"
"POTGLA","SV",1,0,0,0,1,2,0,"CPM"
